otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735965.202145833 -111.575833333333 44.823 5 0 D 200001 0.29 3.4 27.6 4.713
735965.202150463 -111.537166666667 44.8353333333333 17.15 0 C 200002 0.16 1.5 3.7 15.592
735965.222862731 -111.561 44.8293333333333 5 0 D 200003 0.11 1.9 15.5 4.713
735965.316781829 -111.606833333333 44.7111666666667 1.91 0 D 200004 0.06 2.9 2.8 1.92
735965.394656134 -113.593 44.4318333333333 9.34 0 D 200005 0.66 7.1 15.2 8.572
735965.480387037 -112.156 44.5806666666667 4.71 0 D 200006 0.23 4.4 11.7 4.458
735965.869662847 -113.311166666667 44.6141666666667 0.04 0 D 200007 2.96 16.4 46.8 0.22
735966.689183681 -111.125166666667 43.771 0.08 0 C 200008 0.26 1.6 2.3 0.273
735966.704319213 -111.4745 45.8945 0.04 0 D 200009 0.19 3.6 7.8 0.253
735967.164735185 -114.444166666667 45.0216666666667 16.26 0 D 200010 0.17 1.6 18.7 14.853
735967.425674074 -111.061833333333 43.7356666666667 5.66 0 C 200011 0.07 1.9 2.3 5.316
735967.571927083 -114.364666666667 44.7775 0.02 0 D 200012 0.13 11.9 10.2 0.184
735967.575790394 -111.012333333333 43.7218333333333 8.24 0 D 200013 0.23 4.3 7.7 7.638
735967.578321644 -111.084166666667 43.7528333333333 3.18 0 D 200014 0.2 2.8 4.7 3
735967.738915972 -114.093333333333 44.4763333333333 4.98 0 D 200015 0.12 5.3 13.4 4.692
735967.738919676 -114.144666666667 44.423 0.44 0 D 200016 0.05 4.3 6.7 0.562
735967.741963542 -113.975 44.4313333333333 0.04 0 D 200017 0.37 2.7 5.4 0.263
735967.743359838 -113.97 44.4173333333333 3.46 0 C 200018 0.25 2 4.7 3.341
735967.743614005 -113.152666666667 44.3831666666667 13.58 0 D 200019 6.61 34.1 97.9 12.423
735967.745128357 -114.1125 44.4263333333333 5.11 0 D 200020 0.47 4.9 5 4.809
735967.745152893 -114.222666666667 44.4028333333333 27.2 0 C 200021 0.19 1.9 1.2 24.647
735967.745577199 -114.081833333333 44.4903333333333 4.84 0 D 200022 0.67 4.1 9.6 4.562
735967.745594907 -114.143833333333 44.4145 16.12 0 D 200023 0.21 3.4 2 14.73
735967.746925926 -113.935166666667 44.4425 0.04 0 D 200024 0.39 1.6 2.6 0.258
735967.749790162 -114.090833333333 44.46 5.07 0 D 200025 0.1 4.7 13.7 4.773
735967.74982338 -113.938 44.423 0.16 0 D 200026 0.34 10.3 10.3 0.312
735967.750432523 -114.033333333333 44.5593333333333 4.9 0 D 200027 0.68 4.6 13 4.626
735967.750451273 -114.063833333333 44.4233333333333 4.86 0 D 200028 0.14 2.5 3.6 4.596
735967.751758333 -113.944833333333 44.4898333333333 0.08 0 D 200029 0.32 1.9 5.1 0.314
735967.753213194 -113.493 44.829 5 0 D 200030 0.65 6.9 55.5 4.706
735967.753235185 -114.025666666667 44.4348333333333 1.2 0 D 200031 0.06 3.8 4.4 1.281
735967.754169097 -114.102833333333 44.424 5.45 0 D 200032 0.33 5.4 5.5 5.094
735967.75428044 -112.3515 44.1536666666667 16.24 0 D 200033 1.92 12.9 99 14.783
735967.754550347 -114.040833333333 44.4011666666667 5 0 D 200034 0.02 3.6 12.6 4.722
735967.75671169 -114.089833333333 44.4451666666667 4.56 0 D 200035 0.52 9.3 13.5 4.314
735967.756731019 -114.209166666667 44.3618333333333 30.68 0 D 200036 0.66 8.1 12.5 27.779
735967.758711921 -113.906 44.4055 5 0 D 200037 0.12 1.6 16.1 4.703
735967.760047917 -114.090166666667 44.4453333333333 0.31 0 D 200038 0.29 3.1 5 0.48
735967.762179514 -114.009333333333 44.4181666666667 0.04 0 D 200039 0.31 1.6 2.2 0.271
735967.766460185 -114.146666666667 44.4253333333333 5.96 0 D 200040 0.17 6.8 15.8 5.574
735967.766482755 -114.036833333333 44.4348333333333 0.04 0 D 200041 0.78 3.7 7.6 0.268
735967.770322222 -114.043166666667 44.4428333333333 0.05 0 D 200042 0.7 4.4 8.3 0.251
735967.770894444 -114.0355 44.535 4.9 0 D 200043 0.04 10 12.9 4.613
735967.770913194 -113.993166666667 44.4188333333333 0.04 0 D 200044 0.41 2.8 3.5 0.26
735967.771821296 -113.963 44.443 0.02 0 D 200045 0.34 2.8 3.3 0.232
735967.773835648 -114.110166666667 44.4251666666667 5.47 0 D 200046 0.41 5.6 6.2 5.133
735967.77384456 -114.233166666667 44.4558333333333 16.14 0 C 200047 0.24 2.3 4.2 14.693
735967.775270602 -114.048833333333 44.5296666666667 4.9 0 D 200048 0.35 9.3 31.4 4.62
735967.77528206 -114.053833333333 44.4373333333333 0.16 0 D 200049 0.45 2.6 2.8 0.341
735967.777617361 -114.0285 44.4333333333333 0.16 0 D 200050 0.74 2.8 5.3 0.34
735967.778220602 -114.111333333333 44.5113333333333 4.91 0 D 200051 0.5 10.5 21.9 4.629
735967.778250232 -114.131166666667 44.453 11.86 0 C 200052 0.13 1.7 3.5 10.841
735967.781148958 -114.043 44.4416666666667 0.02 0 D 200053 0.31 1.4 2.4 0.24
735967.78282419 -114.044 44.4348333333333 5 0 D 200054 0.15 1.8 17.6 4.722
735967.784603125 -113.997333333333 44.4758333333333 5.21 0 D 200055 0.04 6.3 11.2 4.922
735967.785832755 -112.596333333333 44.1743333333333 4.99 0 D 200056 2.35 18.4 46.5 4.733
735967.788395255 -114.106333333333 44.4463333333333 4.92 0 D 200057 0.14 4.9 6.5 4.638
735967.791720023 -114.106833333333 44.5148333333333 0.16 0 D 200058 0.56 3.9 5.5 0.396
735967.79519456 -113.8865 44.4495 0.02 0 D 200059 0.94 5.5 11.9 0.214
735967.796247685 -112.454166666667 45.052 15.26 0 D 200060 13.84 95.1 78.4 13.959
735967.799901273 -113.930333333333 44.4071666666667 5.15 0 D 200061 0.37 4.1 4.4 4.859
735967.805313773 -112.667666666667 44.3658333333333 1.23 0 D 200062 1.88 10.3 21.5 1.333
735967.812283912 -114.0545 44.4923333333333 4.9 0 D 200063 0.15 9.5 17.9 4.62
735967.812295023 -114.0425 44.4508333333333 0.04 0 C 200064 0.23 2 2 0.268
735967.819683449 -114.132833333333 44.4195 4.38 0 D 200065 0.52 15.5 17.5 4.131
735967.821260301 -113.926666666667 46.0865 5 0 D 200066 0.96 26.9 19.9 4.66
735967.824348148 -113.108 45.0496666666667 5 0 D 200067 2.14 19 99 4.718
735967.828292708 -113.989666666667 44.4798333333333 0.02 0 D 200068 0.44 4.4 6.8 0.25
735967.836024653 -113.587 44.4145 8.38 0 D 200069 2.14 5.5 11.3 7.745
735967.837269907 -114.123166666667 44.4203333333333 4.26 0 D 200070 0.57 10.8 16.9 4.044
735967.843271644 -113.895166666667 44.3995 0.05 0 D 200071 0.72 3.2 6.4 0.248
735967.847932407 -114.062333333333 44.4976666666667 4.97 0 D 200072 0.03 4.1 11.8 4.683
735967.847948727 -113.818666666667 44.2406666666667 0.2 0 D 200073 8.02 85.3 51.3 0.398
735967.852578472 -114.018 44.5498333333333 4.89 0 D 200074 0.11 14 6.3 4.59
735967.853974074 -114.063 44.4891666666667 5 0 D 200075 0.06 4.7 12.3 4.71
735967.853987384 -114.042833333333 44.4496666666667 0.16 0 D 200076 0.46 3.9 6.8 0.304
735967.857178588 -114.137 44.4306666666667 4.91 0 D 200077 0.25 5.3 6.4 4.629
735967.859858449 -113.939333333333 44.4078333333333 0.06 0 D 200078 0.54 2.8 4 0.28
735967.860065509 -113.436666666667 45.4953333333333 9.4 0 D 200079 4.92 35.5 92.4 8.677
735967.866118866 -114.007833333333 44.4333333333333 0.04 0 D 200080 0.42 1.9 2.4 0.258
735967.880670718 -114.040833333333 44.4906666666667 0.04 0 D 200081 0.45 4.7 7.5 0.268
735967.881323958 -114.113333333333 44.4353333333333 0.11 0 D 200082 0.58 3.4 4.7 0.296
735967.882839005 -113.136833333333 43.9313333333333 16.99 0 D 200083 0.9 9.7 63.3 15.509
735967.903640972 -113.979 44.4248333333333 0.03 0 C 200084 0.24 1.1 1.8 0.249
735967.907408565 -114.097166666667 44.4495 4.9 0 D 200085 0.22 8.2 10.6 4.6
735967.913824769 -112.4675 44.3316666666667 0.08 0 D 200086 1.89 12.1 53.2 0.272
735967.931229861 -114.110833333333 44.4468333333333 4.94 0 D 200087 0.12 5 5.7 4.635
735967.938480556 -114.03 44.3633333333333 5 0 D 200088 0.02 10 12.6 4.71
735967.93848912 -114.158333333333 44.4306666666667 16.47 0 D 200089 0.44 2.8 5.1 14.99
735967.949299884 -114.1055 44.438 4.99 0 D 200090 0.27 5.8 6.6 4.68
735967.955314931 -112.909833333333 44.3788333333333 10.55 0 D 200091 1.88 98.7 19.1 9.684
735967.957309954 -113.607166666667 44.4335 5 0 D 200092 0.32 10.3 29.4 4.701
735967.957597222 -112.9035 44.1615 9.11 0 D 200093 1.88 53.3 65.5 8.383
735967.959216204 -114.120333333333 44.4206666666667 4.59 0 D 200094 0.22 8.9 12.9 4.341
735967.983362732 -114.075166666667 44.3888333333333 5 0 D 200095 0.24 5.4 23.6 4.722
735967.983378125 -114.033833333333 44.4716666666667 0.08 0 D 200096 0.48 4 4.1 0.304
735967.985327662 -113.243666666667 44.443 0.64 0 D 200097 0.1 12.5 3.8 0.775
735967.985865857 -114.089166666667 44.3951666666667 4.92 0 D 200098 0.04 7 7.5 4.663
735967.985880671 -114.0695 44.4596666666667 0.03 0 D 200099 0.35 6.1 10 0.194
735967.987653819 -113.819166666667 44.5073333333333 0.01 0 D 200100 0.48 3.4 7.8 0.251
735968.007259722 -114.017 44.4485 0.02 0 D 200101 0.39 3.8 6.2 0.25
735968.016540162 -114.002 44.4298333333333 0.06 0 C 200102 0.2 1.7 3.6 0.278
735968.049074537 -114.036166666667 44.4198333333333 5 0 D 200103 0.15 2.2 17.5 4.722
735968.049070139 -114.19 44.4286666666667 10.64 0 C 200104 0.08 1.4 2.9 9.743
735968.051429282 -113.9285 44.4181666666667 0.96 0 D 200105 0.41 2.7 2.2 1.097
735968.059200116 -114.021166666667 44.424 0.35 0 D 200106 0.37 2.1 4 0.539
735968.059200347 -114.071666666667 44.4095 5.95 0 D 200107 0.04 5.3 9.7 5.512
735968.076763889 -113.999333333333 44.4285 0.08 0 C 200108 0.26 1.4 2.2 0.294
735968.077453588 -114.035666666667 44.4395 0.03 0 C 200109 0.2 2.3 3.2 0.235
735968.080525579 -114.0045 44.4255 0.04 0 D 200110 0.35 1.9 2.4 0.271
735968.080511111 -114.149333333333 44.4421666666667 7.74 0 D 200111 0.13 1.8 5.1 7.167
735968.08155625 -114.014166666667 44.4276666666667 0.08 0 D 200112 0.47 1.8 2.9 0.296
735968.099356944 -114.014833333333 44.4248333333333 0.5 0 C 200113 0.07 1.8 3.2 0.646
735968.109020139 -112.8355 44.4348333333333 17.89 0 D 200114 0.13 3 16.1 16.285
735968.113522685 -111.078666666667 43.7378333333333 3.93 0 C 200115 0.05 2.4 3.8 3.704
735968.121115625 -113.9885 44.452 0.02 0 D 200116 0.39 2.3 5 0.25
735968.123998495 -114.0415 44.4225 0.75 0 C 200117 0.09 1.3 2.9 0.898
735968.127725926 -113.9935 44.4173333333333 0.02 0 D 200118 0.32 1.5 2.2 0.24
735968.171559259 -114.116666666667 44.4416666666667 4.42 0 D 200119 0.46 5.6 6.3 4.21
735968.175963773 -114.008 44.421 5 0 D 200120 0.09 4.6 14.6 4.722
735968.175956597 -114.070666666667 44.4486666666667 0.14 0 D 200121 0.31 2.7 2.9 0.359
735968.177831597 -113.999833333333 44.4423333333333 0.02 0 D 200122 0.32 2.2 2 0.215
735968.179336227 -113.992333333333 44.4203333333333 0.02 0 D 200123 0.34 1.7 2 0.24
735968.186032523 -113.9965 44.4081666666667 0.06 0 C 200124 0.11 1.7 2.1 0.272
735968.21419375 -114.035 44.4928333333333 5.19 0 D 200125 0.4 14 23.5 4.903
735968.230926042 -114.114833333333 44.4503333333333 0.02 0 D 200126 0.31 4.3 2.1 0.236
735968.260976736 -114.0485 44.4836666666667 5.27 0 D 200127 0.13 8 13.4 4.975
735968.268616898 -113.994333333333 44.466 4.29 0 D 200128 0.01 8.2 9.5 4.028
735968.274583565 -114.1505 44.4386666666667 2.83 0 D 200129 0.29 3.3 4.8 2.743
735968.285803009 -113.993 44.4186666666667 7.15 0 C 200130 0.01 1.3 0.9 6.653
735968.288819907 -113.982833333333 44.4325 0.01 0 C 200131 0.04 1.2 1.8 0.231
735968.299564931 -114.049833333333 44.3896666666667 5 0 D 200132 0.04 3.2 13 4.722
735968.299546412 -114.2125 44.4891666666667 4.75 0 D 200133 0.03 6.5 10 4.507
735968.310890162 -114.000333333333 44.8366666666667 4.98 0 D 200134 0.21 9.8 18.9 4.649
735968.315437037 -114.041333333333 44.442 0.08 0 D 200135 0.37 1.5 1.4 0.28
735968.321015162 -113.979333333333 44.4323333333333 1.43 0 D 200136 0.15 4.3 14.1 1.521
735968.327628935 -114.014 44.4445 0.04 0 D 200137 0.39 2.2 3.6 0.26
735968.332144097 -113.077166666667 44.4193333333333 5 0 D 200138 1.84 55.6 32.1 4.699
735968.334635417 -113.998833333333 44.4393333333333 5 0 D 200139 0.1 1.3 15 4.722
735968.336734259 -114.022666666667 44.485 5.13 0 D 200140 0.18 6.7 12.3 4.849
735968.342651273 -112.785666666667 44.8736666666667 4.87 0 D 200141 2.02 98.1 14.9 4.605
735968.346123611 -113.991166666667 44.4468333333333 0.06 0 D 200142 0.35 2.9 6.5 0.286
735968.419349421 -114.023333333333 44.4293333333333 0.02 0 C 200143 0.25 1 1.3 0.24
735968.429959722 -114.146 44.4618333333333 4.76 0 D 200144 0.11 8.2 8.7 4.452
735968.449964468 -114.011333333333 44.4321666666667 0.04 0 D 200145 0.29 2.6 1.9 0.254
735968.449931482 -114.2805 44.4705 4.63 0 D 200146 0.19 9 11.5 4.32
735968.460476389 -114.0565 44.4705 0.08 0 D 200147 0.31 6.2 9 0.304
735968.49288831 -114.020833333333 44.4468333333333 0.04 0 D 200148 0.47 5.2 6.1 0.268
735968.502338079 -114.100666666667 44.3636666666667 5 0 D 200149 0.02 2.8 12.6 4.722
735968.502475116 -112.917166666667 44.382 5 0 D 200150 2.25 73.5 66.3 4.699
