otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735965.202126273 -112.883666666667 45.1513333333333 5 0 D 200001 1.34 15.2 99 4.72
735965.202075116 -114.042166666667 45.6735 11.62 0 D 200002 3.34 22.9 21.7 10.615
735965.222864931 -111.5985 44.8228333333333 5 0 D 200003 0.08 1.1 14.1 4.718
735965.316789699 -111.7035 44.7563333333333 5 0 D 200004 0.33 4.3 30.6 4.701
735965.394561458 -114.101166666667 44.7033333333333 0.02 0 C 200005 0.13 1.6 1.1 0.185
735965.480395602 -112.249166666667 44.5488333333333 5 0 D 200006 0.09 4.9 14.4 4.718
735965.869648958 -113.407333333333 44.624 5 0 D 200007 3.02 18.4 99 4.684
735966.689177894 -111.1045 43.7616666666667 4.79 0 C 200008 0.18 1.2 0.8 4.512
735966.704306713 -111.4295 45.9376666666667 5 0 D 200009 0.11 2.6 15.7 4.717
735967.164729167 -114.380166666667 45.0215 5 0 D 200010 0.17 1.4 19.1 4.718
735967.425668866 -111.087666666667 43.747 5.07 0 C 200011 0.21 1.7 1.1 4.785
735967.571957639 -114.096666666667 44.693 0.05 0 D 200012 0.05 3.6 2.1 0.212
735967.575789583 -111.095 43.7413333333333 5.87 0 D 200013 0.32 2.3 1.2 5.505
735967.578323611 -111.130333333333 43.7426666666667 5.16 0 C 200014 0.28 1.8 1.1 4.781
735967.738915278 -114.0935 44.4798333333333 5 0 D 200015 0.14 5.9 17 4.71
735967.738920139 -114.216333333333 44.3658333333333 5 0 D 200016 0.15 2.5 17.9 4.667
735967.741943403 -114.131666666667 44.4436666666667 5 0 D 200017 0.28 2.3 26.2 4.752
735967.74335625 -113.999666666667 44.4118333333333 5 0 D 200018 0.36 2.4 32.6 4.724
735967.743565162 -113.329833333333 44.3963333333333 5 0 D 200019 6.72 35.6 99 4.701
735967.745126157 -114.114166666667 44.4361666666667 5 0 D 200020 0.42 3 36.9 4.71
735967.745152083 -114.146333333333 44.3876666666667 23.43 0 D 200021 0.09 2.9 3.6 21.254
735967.745574306 -114.100166666667 44.4741666666667 5 0 D 200022 0.19 1.1 19.9 4.706
735967.745581597 -114.091333333333 44.443 4.33 0 D 200023 0.47 6.7 4.1 4.119
735967.746919907 -113.9665 44.4605 5 0 D 200024 0.23 1.5 22.7 4.722
735967.749789352 -114.094666666667 44.46 5 0 D 200025 0.12 5 15.8 4.71
735967.749834144 -113.849666666667 44.423 14.95 0 D 200026 0.07 9.1 10.3 13.623
735967.750431597 -114.050666666667 44.5233333333333 5 0 C 200027 0.17 2.7 18.6 4.71
735967.750435185 -114.132166666667 44.3965 5.42 0 C 200028 0.08 1.7 1.4 5.1
735967.751753472 -113.986166666667 44.498 5 0 D 200029 0.22 1.6 22 4.742
735967.753213079 -113.493166666667 44.8273333333333 5 0 D 200030 0.67 7.2 57.1 4.706
