otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr,depth_FSL,d_time
736947.032167824,-111.469666666667,42.6271666666667,3.91,0,NaN,D,200001,0.03,3.1,1,3.728,09-Sep-2017 00:46:19
736947.035450116,-111.469666666667,42.5818333333333,1.3,0,NaN,D,200002,0.25,4.5,3.8,1.37,09-Sep-2017 00:51:02
736947.086563657,-111.452166666667,42.575,3.1,0,NaN,C,200004,0.07,1.1,0.6,2.992,09-Sep-2017 02:04:39
736947.107633333,-111.418166666667,42.5606666666667,7.5,0,NaN,C,200006,0.07,1,0.5,6.953,09-Sep-2017 02:34:59
736947.121047222,-111.430333333333,42.6288333333333,6.88,0,NaN,C,200008,0.05,1.1,0.5,6.399,09-Sep-2017 02:54:18
736947.127584144,-111.4615,42.6275,3.77,0,NaN,C,200009,0.06,1.3,1.1,3.591,09-Sep-2017 03:03:43
736947.132700694,-111.399666666667,42.569,7.48,0,NaN,C,200010,0.01,1.4,0.6,6.932,09-Sep-2017 03:11:05
736947.134510417,-111.401166666667,42.5705,7.52,0,NaN,C,200011,0.03,0.9,0.4,6.975,09-Sep-2017 03:13:41
736947.136352431,-111.493,42.6226666666667,1.34,0,NaN,B,200012,0.18,2.2,3,1.41,09-Sep-2017 03:16:20
736947.179890278,-111.448833333333,42.5745,2.24,0,NaN,C,200015,0.16,1.6,0.8,2.216,09-Sep-2017 04:19:02
736947.249527778,-111.4575,42.6386666666667,4.35,0,NaN,B,200018,0.08,0.9,0.6,4.115,09-Sep-2017 05:59:19
736947.252830093,-111.459166666667,42.639,4.63,0,NaN,C,200019,0,1.3,1.2,4.367,09-Sep-2017 06:04:04
736947.267139583,-111.4655,42.6405,4.28,0,NaN,C,200020,0.04,1.4,1.1,4.053,09-Sep-2017 06:24:40
736947.300025694,-111.410333333333,42.5921666666667,6.7,0,NaN,C,200023,0.03,1.3,0.4,6.236,09-Sep-2017 07:12:02
736947.32320706,-111.449833333333,42.6816666666667,2.83,0,NaN,C,200025,0.23,1,1.3,2.793,09-Sep-2017 07:45:25
