otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr,depth_FSL
736947.032167708,-111.5485,42.626,5,0,,D,200001,0.03,1,12.7,4.712
736947.035457407,-111.487833333333,42.585,5,0,,D,200002,0.06,0.6,13.5,4.7
736947.081666782,-111.16,42.8911666666667,5,0,,D,200003,2.37,52.9,99,4.712
736947.086573958,-111.484166666667,42.5801666666667,5,0,,D,200004,0.26,0.9,24.9,4.702
736947.105546181,-111.530333333333,42.5583333333333,5,0,,D,200005,0.03,1.2,12.7,4.7
736947.107644907,-111.482333333333,42.5475,5,0,,D,200006,0.23,1.2,22.6,4.702
736947.119022801,-111.3,42.5121666666667,5,0,,D,200007,2.17,34,99,4.707
736947.121061458,-111.514666666667,42.6143333333333,5,0,,C,200008,0.3,1.1,28.1,4.705
736947.127593981,-111.495166666667,42.6215,5,0,,C,200009,0.23,0.6,23,4.702
736947.132716667,-111.498666666667,42.5555,5,0,,D,200010,0.42,1.8,37.3,4.702
736947.134526852,-111.505,42.5618333333333,5,0,,D,200011,0.39,1.7,34.7,4.702
736947.136358218,-111.500666666667,42.6241666666667,5,0,,C,200012,0.19,0.6,20.1,4.705
736947.169453472,-111.399666666667,42.4706666666667,5,0,,D,200013,0.72,6.8,61.4,4.707
736947.17533831,-112.239,43.089,5,0,,D,200014,0.94,5,79.1,4.7
736947.17989919,-111.4765,42.5753333333333,5,0,,D,200015,0.27,1.1,25.4,4.702
736947.207060301,-111.445,42.4356666666667,5,0,,D,200016,1.61,12.3,99,4.702
736947.208100926,-111.9555,42.7623333333333,5,0,,D,200017,2.15,6.5,99,4.702
736947.249538773,-111.503,42.6358333333333,5,0,,C,200018,0.22,0.7,22.1,4.705
736947.252841898,-111.498333333333,42.6291666666667,5,0,,C,200019,0.27,0.9,25.5,4.7
736947.267138889,-111.553166666667,42.6425,5,0,,D,200020,0.01,1.2,12.6,4.7
736947.277969444,-110.974833333333,42.845,5,0,,D,200021,2.77,20.5,99,4.71
736947.293293287,-111.377833333333,42.5961666666667,5,0,,D,200022,0.01,1.3,12.5,4.7
736947.300042824,-111.499666666667,42.5858333333333,5,0,,C,200023,0.38,1.2,33.8,4.702
736947.309322917,-111.261333333333,42.5531666666667,5,0,,D,200024,2.42,24.6,99,4.702
736947.323210648,-111.4285,42.6966666666667,5,0,,C,200025,0.16,0.9,18.2,4.705
736947.325953241,-111.520166666667,42.5113333333333,5,0,,D,200026,0.31,2.5,28.9,4.702
736947.336807176,-111.507666666667,42.5933333333333,5,0,,C,200027,0.38,1.2,34.4,4.702
736947.340287037,-111.831166666667,42.645,5,0,,D,200028,0.7,2.1,60,4.702
736947.352333565,-111.551833333333,42.5368333333333,5,0,,D,200029,0.27,2.6,26,4.702
736947.354439583,-111.493333333333,42.5846666666667,5,0,,C,200030,0.22,1,22.5,4.702
736947.357465162,-111.441333333333,42.5616666666667,5,0,,D,200031,2.47,15.9,99,4.702
736947.359502662,-111.375833333333,42.6205,5,0,,D,200032,0.32,1.5,29.8,4.705
736947.372788773,-111.313,42.6413333333333,5,0,,D,200033,0.3,2.2,27.9,4.702
736947.374796528,-111.494833333333,42.5808333333333,5,0,,D,200034,0.44,1.4,38.8,4.702
736947.385999421,-111.519666666667,42.5746666666667,5,0,,D,200035,0.09,0.5,14.6,4.702
736947.395151042,-111.5065,42.5925,5,0,,C,200036,0.38,1.1,33.7,4.702
736947.402069213,-112.025833333333,42.7661666666667,5,0,,D,200037,1.63,7.7,99,4.702
736947.405794097,-111.518166666667,42.6688333333333,5,0,,D,200038,0.24,1.2,23.9,4.709
736947.407466435,-111.515333333333,42.6016666666667,5,0,,C,200039,0.32,1,29.2,4.702
736947.408358565,-111.502666666667,42.6021666666667,5,0,,C,200040,0.39,1.1,34.7,4.705
736947.408867593,-111.677,42.7103333333333,5,0,,D,200041,0.81,3,69,4.705
736947.410174884,-111.666,43.0845,5,0,,D,200042,2.84,11.5,99,4.705
736947.416458333,-111.361666666667,42.6375,5,0,,D,200043,0.41,1.4,36.4,4.705
736947.418996991,-112.218,42.8216666666667,5,0,,D,200044,3.1,19.3,99,4.693
736947.427352431,-111.4835,42.4226666666667,5,0,,D,200045,2.2,19.8,99,4.7
736947.431272685,-111.492333333333,42.5486666666667,5,0,,D,200046,0.37,2,33.6,4.702
736947.436188542,-111.423166666667,42.5693333333333,5,0,,D,200047,4.39,25.9,99,4.702
736947.442583449,-110.915666666667,42.8685,5,0,,D,200048,2.69,15.1,99,4.71
736947.458297569,-112.267666666667,42.8155,5,0,,D,200049,2.36,12,99,4.702
736947.468787269,-111.5195,42.5658333333333,5,0,,D,200050,0.32,1.5,29.8,4.702
736947.474342014,-111.532333333333,42.5971666666667,5,0,,D,200051,0.29,1.7,27.4,4.707
736947.480334028,-111.506333333333,42.5635,5,0,,D,200052,0.37,1.7,33.3,4.702
736947.48566331,-111.5035,42.5475,5,0,,D,200053,0.34,1.8,31.1,4.702
736947.488245486,-111.306833333333,42.5726666666667,5,0,,D,200054,0.14,1.9,17.2,4.707
736947.493078472,-111.497333333333,42.5658333333333,5,0,,D,200055,0.33,1.6,30.6,4.702
736947.498411458,-111.492666666667,42.5523333333333,5,0,,D,200056,0.31,1.5,28.7,4.702
736947.505086343,-111.597666666667,43.0373333333333,5,0,,D,200057,2.26,8.1,99,4.7
736947.506466088,-111.298833333333,42.5796666666667,5,0,,D,200058,0.19,1.8,20.1,4.705
736947.515766551,-111.495333333333,42.5586666666667,5,0,,D,200059,0.39,2,34.8,4.702
736947.522231482,-110.995,42.823,5,0,,D,200060,2.53,16.5,99,4.705
736947.524110301,-111.478333333333,42.5511666666667,5,0,,D,200061,0.37,1.9,33.3,4.702
736947.532633796,-111.496,42.5413333333333,5,0,,D,200062,0.38,1.8,33.9,4.702
736947.535204977,-111.501,42.5373333333333,5,0,,D,200063,0.37,1.7,33.4,4.702
736947.570381597,-111.506833333333,42.6571666666667,5,0,,C,200064,0.11,0.7,15.3,4.705
736947.571759491,-111.786166666667,42.579,5,0,,D,200065,0.89,15.8,74.9,4.7
736947.583126042,-111.949833333333,42.726,5,0,,D,200066,1.95,6.9,99,4.702
736947.599102778,-111.505166666667,42.5675,5,0,,D,200067,0.34,1.5,31.3,4.702
736947.605896412,-111.525,42.6135,5,0,,C,200068,0.28,1.1,26.4,4.702
736947.610477431,-111.7305,42.7766666666667,5,0,,D,200069,1.27,28.1,99,4.71
736947.62764213,-111.648833333333,42.553,5,0,,D,200070,0.38,3.9,33.8,4.702
736947.62800544,-111.5115,42.5683333333333,5,0,,D,200071,0.39,1.6,35.1,4.702
736947.637759028,-111.461,42.8573333333333,5,0,,D,200072,1.64,12.2,99,4.702
736947.638424421,-111.507833333333,42.5631666666667,5,0,,D,200073,0.43,2.1,38.2,4.702
736947.639384838,-111.3635,42.4828333333333,5,0,,D,200074,0.29,2.1,27.1,4.702
736947.647546296,-111.509666666667,42.5596666666667,5,0,,D,200075,0.42,1.8,37.1,4.702
736947.66342662,-111.515166666667,42.5036666666667,5,0,,D,200076,0.3,2.3,27.8,4.707
736947.681291551,-111.497,42.5483333333333,5,0,,D,200077,0.4,2,36,4.702
736947.711555556,-111.309833333333,42.6323333333333,5,0,,D,200078,0.34,2.6,31,4.71
736947.728475579,-110.937,42.8683333333333,5,0,,D,200079,2.89,12.2,99,4.71
736947.734938542,-111.342666666667,42.6101666666667,5,0,,D,200080,0.46,1.8,40.1,4.705
736947.769991782,-111.472166666667,42.6011666666667,5,0,,C,200081,0.19,0.9,20.4,4.702
736947.784778935,-111.554333333333,42.5605,5,0,,D,200082,0.05,1.3,13.2,4.708
736947.79008831,-111.500166666667,42.6991666666667,5,0,,C,200083,0.44,1.4,38.5,4.705
736947.792388079,-111.456333333333,42.6965,5,0,,C,200084,0.44,2.1,38.8,4.705
736947.803927431,-111.593833333333,42.6501666666667,5,0,,D,200085,0.04,1.3,13,4.7
736947.817195718,-111.667833333333,42.714,5,0,,D,200086,0.53,7.2,45.9,4.702
736947.877103241,-111.482666666667,42.5995,5,0,,C,200087,0.26,0.7,24.8,4.705
736947.895827546,-111.724166666667,42.6238333333333,5,0,,D,200088,0.87,3,73.6,4.702
736947.936382986,-111.527166666667,42.646,5,0,,C,200089,0.4,1.4,35.4,4.705
736948.007395949,-111.4555,42.5326666666667,5,0,,C,200090,0.29,1,27.1,4.703
736948.05035162,-111.4965,42.539,5,0,,D,200091,0.4,1.9,35.4,4.702
736948.062994097,-111.501333333333,42.715,5,0,,D,200092,0.16,0.7,18.2,4.709
736948.07245625,-111.496166666667,42.6336666666667,5,0,,C,200093,0.18,0.7,19.4,4.702
736948.094043403,-111.101,42.3308333333333,5,0,,D,200094,11.1,99,99,4.707
736948.102393171,-111.526833333333,42.6455,5,0,,C,200095,0.3,1.2,27.8,4.702
736948.140397801,-111.515833333333,42.6646666666667,5,0,,C,200096,0.15,1,17.6,4.702
736948.141666898,-111.4985,42.5398333333333,5,0,,D,200097,0.35,1.8,31.7,4.702
736948.161610648,-111.810333333333,42.6996666666667,5,0,,D,200098,1.23,2.9,99,4.702
736948.187541551,-111.501666666667,42.5921666666667,5,0,,C,200099,0.28,0.9,26.2,4.702
736948.190085648,-111.301833333333,42.6145,5,0,,D,200100,0.33,2.3,29.8,4.705
736948.198448727,-111.513666666667,42.6166666666667,5,0,,D,200101,0.3,1.3,28.2,4.707
736948.202068403,-111.415333333333,42.6915,5,0,,D,200102,0.05,1.4,13.1,4.7
736948.209037963,-111.505833333333,42.5861666666667,5,0,,C,200103,0.41,1.4,36.7,4.702
736948.24676331,-111.490833333333,42.5955,5,0,,C,200104,0.23,0.7,22.6,4.705
736948.262991898,-111.495166666667,42.5706666666667,5,0,,D,200105,0.38,1.5,34.2,4.702
736948.298868171,-112.154666666667,42.847,5,0,,D,200106,3.92,21.2,99,4.702
736948.314140162,-111.724,42.6563333333333,5,0,,D,200107,1.31,10.7,99,4.707
736948.318315509,-111.508333333333,42.5865,5,0,,C,200108,0.38,1.4,33.9,4.702
736948.321073032,-111.486666666667,42.5818333333333,5,0,,D,200109,0.31,1,28.9,4.702
736948.348859144,-111.514333333333,42.6406666666667,5,0,,C,200110,0.29,1,26.9,4.705
736948.376913194,-111.739,42.788,5,0,,D,200111,1.43,27.9,99,4.705
736948.418163773,-111.4995,42.5613333333333,5,0,,D,200112,0.07,0.7,13.6,4.702
736948.421983333,-111.112666666667,42.5965,5,0,,D,200113,0.22,2.2,22.5,4.702
736948.422966551,-111.484166666667,42.549,5,0,,D,200114,0.26,1.3,25,4.702
736948.426964468,-111.5035,42.6035,5,0,,D,200115,0.29,1,27.2,4.702
736948.433774421,-111.479833333333,42.3628333333333,5,0,,D,200116,0.41,2.9,36.2,4.702
736948.439830324,-111.512666666667,42.5953333333333,5,0,,C,200117,0.36,1.2,32.3,4.702
736948.448203356,-111.5515,42.6056666666667,5,0,,D,200118,0,1.2,12.5,4.7
736948.449568519,-111.539666666667,42.919,5,0,,D,200119,1.69,5.3,99,4.705
736948.450270486,-111.495666666667,42.5961666666667,5,0,,C,200120,0.24,0.7,23.9,4.702
736948.451358796,-111.6495,43.0988333333333,5,0,,D,200121,1.24,4.4,99,4.709
736948.45162037,-111.483166666667,42.5995,5,0,,C,200122,0.27,1.1,25.9,4.702
736948.460421875,-111.729833333333,42.6586666666667,5,0,,D,200123,1,2.3,84.5,4.702
