Date,Time_UT_,Latitude,Longitude,Depth_km_,Magnitude,State_Province,Mechanism,otime,lat,lon,her,ver
03/31/202023:52:31,23:52:31,44.448,-115.136,10,6.5,Idaho,20200331235231 Mechanism,737881.994803241,0,0,0,0
04/01/202002:09:05,02:09:05,44.375,-115.263,6.3,4.4,Idaho,20200401020905 Mechanism,737882.089641204,0,0,0,0
04/01/202002:23:26,02:23:26,44.312,-115.119,13.3,3.8,Idaho,20200401022326 Mechanism,737882.099606481,0,0,0,0
04/01/202005:07:21,05:07:21,44.404,-115.179,10,3.8,Idaho,20200401050721 Mechanism,737882.2134375,0,0,0,0
04/01/202005:50:54,05:50:54,44.322,-115.279,10,3.4,Idaho,20200401055054 Mechanism,737882.243680556,0,0,0,0
04/01/202008:48:03,08:48:03,44.388,-115.185,10,3.4,Idaho,20200401084803 Mechanism,737882.366701389,0,0,0,0
04/01/202010:57:36,10:57:36,44.311,-115.217,11.1,3.8,Idaho,20200401105736 Mechanism,737882.456666667,0,0,0,0
04/01/202013:30:09,13:30:09,44.367,-115.247,6.6,4.1,Idaho,20200401133009 Mechanism,737882.562604167,0,0,0,0
04/01/202019:40:18,19:40:18,44.396,-115.167,10,3.4,Idaho,20200401194018 Mechanism,737882.819652778,0,0,0,0
04/01/202020:49:12,20:49:12,44.374,-115.162,10,3.6,Idaho,20200401204912 Mechanism,737882.8675,0,0,0,0
04/01/202021:03:19,21:03:19,44.501,-115.174,8.3,3.7,Idaho,20200401210319 Mechanism,737882.877303241,0,0,0,0
04/03/202020:21:46,20:21:46,44.335,-115.149,10,4.3,Idaho,20200403202146 Mechanism,737884.848449074,0,0,0,0
04/04/202015:41:11,15:41:11,44.498,-115.266,10,3.8,Idaho,20200404154111 Mechanism,737885.653599537,0,0,0,0
04/05/202011:26:57,11:26:57,44.358,-115.184,9.3,3.8,Idaho,20200405112657 Mechanism,737886.477048611,0,0,0,0
04/05/202014:10:15,14:10:15,44.321,-115.2,10,3.6,Idaho,20200405141015 Mechanism,737886.590451389,0,0,0,0
04/07/202009:18:31,09:18:31,44.329,-115.236,10,3.6,Idaho,20200407091831 Mechanism,737888.387858796,0,0,0,0
04/08/202017:23:45,17:23:45,44.128,-115.08,10,3.6,Idaho,20200408172345 Mechanism,737889.724826389,0,0,0,0
04/11/202017:57:39,17:57:39,44.321,-115.162,13.2,4.3,Idaho,20200411175739 Mechanism,737892.748368056,0,0,0,0
04/11/202018:07:59,18:07:59,44.315,-115.155,7.3,3.6,Idaho,20200411180759 Mechanism,737892.755543981,44.307,-115.136666666667,0.3,0.6
04/11/202019:33:31,19:33:31,44.546,-115.232,14.3,3.6,Idaho,20200411193331 Mechanism,737892.81494213,0,0,0,0
04/12/202003:09:52,03:09:52,44.495,-115.151,10,3.8,Idaho,20200412030952 Mechanism,737893.131851852,0,0,0,0
