time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-04T07:29:37.170Z,42.6747,-111.2117,12.11,2.5,ml,,43,0.122,0.51,us,us2000j0aa,2019-03-08T17:50:15.040Z,"18 km W of Fairview, Wyoming",earthquake,1.2,8.8,0.052,48,reviewed,us,us
2018-12-30T07:46:57.800Z,42.6746,-111.4756,10,2.4,ml,,50,0.095,0.56,us,us2000iz4q,2019-03-05T17:46:39.040Z,"10 km ENE of Soda Springs, Idaho",earthquake,2.1,2,0.056,42,reviewed,us,us
2018-12-26T23:10:36.080Z,42.5715,-111.4438,8.61,2.4,ml,,68,0.109,0.47,us,us2000ixw8,2019-03-05T17:46:34.040Z,"11 km NNW of Georgetown, Idaho",earthquake,2,9.2,0.074,24,reviewed,us,us
2018-12-26T21:30:08.380Z,42.577,-111.4649,9.12,3.2,ml,,45,0.129,0.58,us,us2000ixth,2019-03-05T17:46:34.040Z,"13 km NW of Georgetown, Idaho",earthquake,1.5,9.7,0.053,46,reviewed,us,us
2018-12-25T18:01:05.910Z,42.6101667,-111.4551667,-2.58,2.13,ml,19,124,0.1477,0.18,uu,uu60308182,2018-12-26T17:22:15.930Z,"13 km ESE of Soda Springs, Idaho",earthquake,0.49,1.14,0.129,3,reviewed,uu,uu
2018-12-19T21:43:52.870Z,42.5946667,-111.4245,0.11,2.22,ml,9,182,0.1247,0.15,uu,uu60307587,2018-12-19T22:21:52.680Z,"13 km NNW of Georgetown, Idaho",earthquake,1.06,1.85,0.161,3,reviewed,uu,uu
2018-12-01T10:40:05.180Z,42.6896,-111.4968,5,2.5,ml,,138,0.232,0.23,us,us1000hzgd,2019-02-09T19:02:09.040Z,"9 km ENE of Soda Springs, Idaho",earthquake,1.6,1.9,0.06,36,reviewed,us,us
2018-11-30T16:39:27.430Z,42.6552,-111.4984,5.54,2.3,ml,,58,0.202,0.4,us,us1000i1b0,2019-02-09T19:02:09.040Z,"8 km E of Soda Springs, Idaho",earthquake,1.4,9.5,0.051,50,reviewed,us,us
2018-11-21T19:03:08.820Z,42.6625,-111.4741667,10.39,2.02,ml,13,130,0.2012,0.16,uu,uu60305267,2018-11-21T20:02:10.020Z,"10 km E of Soda Springs, Idaho",earthquake,0.52,1.35,0.033,5,reviewed,uu,uu
2018-11-20T01:22:30.010Z,42.6568333,-111.4775,8.66,2.15,ml,8,139,0.1969,0.06,uu,uu60304972,2018-11-20T21:12:52.605Z,"10 km E of Soda Springs, Idaho",earthquake,0.35,1.39,0.131,4,reviewed,uu,uu
