otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr,depth_FSL
735965.202124537,-112.908666666667,45.153,5,0,,D,200001,1.42,15.2,99,4.72
735965.202090509,-113.992,45.5976666666667,9.08,0,,D,200002,3.37,19.9,18.5,8.329
735965.222861343,-111.5475,44.8156666666667,5,0,,D,200003,0.06,1.6,13.4,4.713
735965.316795486,-111.78,44.7815,5,0,,D,200004,0.54,5.9,46.8,4.701
735965.394577662,-113.999333333333,44.6518333333333,0.01,0,,D,200005,0.31,3.2,1.5,0.176
735965.480410069,-112.361166666667,44.5196666666667,5,0,,D,200006,0.72,6.3,61,4.718
735965.869643634,-113.4195,44.633,5,0,,D,200007,2.91,17,99,4.701
735966.689181944,-111.152,43.7608333333333,3.97,0,,C,200008,0.25,1.5,1.1,3.774
735966.704312153,-111.458333333333,45.9265,7.2,0,,C,200009,0.01,2.4,1.9,6.697
735967.164728588,-114.365166666667,45.0226666666667,10.74,0,,C,200010,0.17,1.3,1.4,9.884
735967.425678935,-111.190833333333,43.7418333333333,7.69,0,,C,200011,0.24,1.4,1.9,7.088
735967.571962731,-114.074333333333,44.6888333333333,0.02,0,,D,200012,0.16,2.6,0.9,0.185
735967.575787847,-111.111333333333,43.74,3,0,,D,200013,0.34,2.4,1.1,2.922
735967.578317361,-111.114,43.7461666666667,2.1,0,,D,200014,0.31,2.1,1,2.027
735967.738920602,-114.086,44.4618333333333,5,0,,D,200015,0.08,4.6,14.1,4.71
735967.738917361,-114.1505,44.4211666666667,5,0,,D,200016,0.28,3.6,26.7,4.667
735967.741952662,-114.061,44.4456666666667,5,0,,D,200017,0.21,1.9,21.5,4.724
735967.743351505,-114.025,44.4133333333333,5,0,,D,200018,0.43,2.5,38.3,4.724
735967.743560185,-113.3515,44.3988333333333,5,0,,D,200019,6.87,34.9,99,4.701
735967.745132176,-114.088833333333,44.443,5,0,,D,200020,0.19,1.7,19.9,4.71
735967.745156134,-114.178333333333,44.3925,25.21,0,,D,200021,0.15,3.8,4.9,22.856
735967.745577546,-114.0695,44.4666666666667,5,0,,C,200022,0.16,1,18.6,4.706
735967.745591551,-113.933,44.4065,0.02,0,,D,200023,0.55,4.1,2.3,0.24
735967.746908333,-114.057166666667,44.4333333333333,8.52,0,,C,200024,0.12,1,1.2,7.89
735967.749792824,-114.093,44.4323333333333,5,0,,D,200025,0.05,3.4,13.1,4.71
735967.749835301,-113.7895,44.4226666666667,9.72,0,,D,200026,0.03,8.9,8.6,8.915
735967.750436343,-114.032333333333,44.5188333333333,5,0,,C,200027,0.14,2.6,17.4,4.716
735967.750434606,-114.1025,44.3835,2.19,0,,C,200028,0.08,1.8,1.4,2.193
735967.751753009,-113.980833333333,44.4938333333333,5,0,,D,200029,0.28,1.6,26.6,4.742
735967.753215162,-113.481333333333,44.833,5,0,,D,200030,0.53,5.6,46.3,4.706
735967.753231366,-113.965,44.4306666666667,0.07,0,,C,200031,0.01,1.9,1.5,0.264
735967.754169907,-114.105,44.4218333333333,5,0,,D,200032,0.09,1.9,14.5,4.689
735967.754263194,-112.412666666667,44.1603333333333,2.5,0,,D,200033,1.99,12.6,99,2.417
735967.754543634,-114.097333333333,44.3766666666667,5,0,,D,200034,0.12,4,15.9,4.722
735967.756715856,-114.072166666667,44.4518333333333,5,0,,D,200035,0.28,2.7,26.4,4.71
735967.756728009,-114.1605,44.3596666666667,21.76,0,,D,200036,0.66,8,9.9,19.75
735967.758718519,-113.879333333333,44.4293333333333,5,0,,D,200037,0.2,1.8,20.6,4.703
735967.760038194,-114.109833333333,44.4336666666667,4.83,0,,C,200038,0.28,2.1,1.3,4.548
735967.76217662,-114.033833333333,44.4451666666667,6.92,0,,C,200039,0.1,0.9,1.2,6.463
735967.766463079,-114.140333333333,44.4073333333333,5,0,,D,200040,0.05,4.6,13.1,4.71
735967.766468982,-114.0865,44.4648333333333,0.21,0,,D,200041,0.68,2.9,4.5,0.421
735967.770316551,-114.0685,44.4423333333333,5,0,,D,200042,0.78,3.6,65.8,4.706
735967.770895602,-113.9975,44.6001666666667,5,0,,D,200043,0.02,3.6,12.7,4.703
735967.770897801,-114.079666666667,44.4278333333333,0.04,0,,C,200044,0.17,1.6,1.8,0.287
735967.771810069,-114.032666666667,44.4593333333333,0.19,0,,C,200045,0.25,1.9,2.7,0.367
735967.773837616,-114.093666666667,44.4326666666667,5,0,,D,200046,0.16,2.1,18.6,4.71
735967.773845255,-114.163333333333,44.4346666666667,19.23,0,,C,200047,0.16,1.8,1.6,17.474
735967.775271991,-114.041333333333,44.5208333333333,5,0,,D,200048,0.1,5.2,15,4.71
735967.775275463,-114.0745,44.4455,0.05,0,,C,200049,0.15,1.1,0.9,0.242
735967.777613079,-114.044,44.4241666666667,5,0,,D,200050,0.9,3.1,5.4,4.696
735967.778223264,-114.092,44.5306666666667,5,0,,D,200051,0.32,8.8,29.5,4.71
735967.778256597,-114.044833333333,44.4215,17.92,0,,C,200052,0.29,2.3,1.6,16.295
735967.781144676,-114.082666666667,44.4265,8.11,0,,C,200053,0.18,0.9,1.4,7.534
735967.782820949,-114.067166666667,44.4601666666667,5,0,,D,200054,0.09,1.4,14.7,4.735
735967.784590278,-114.06,44.4405,5,0,,D,200055,0.07,1.3,13.8,4.732
735967.785733333,-113.9765,44.3768333333333,5,0,,C,200056,0.01,2,2.3,4.752
735967.78840081,-114.0815,44.4611666666667,5,0,,D,200057,0.02,1.8,12.6,4.71
735967.791713542,-114.154333333333,44.508,11.27,0,,D,200058,0.42,2.8,1.2,10.395
735967.795159954,-114.093666666667,44.4611666666667,0.04,0,,D,200059,0.38,2,2.5,0.196
735967.796175116,-112.9825,45.2796666666667,5,0,,D,200060,4.47,39.5,99,4.725
735967.799886227,-114.027833333333,44.4246666666667,11.38,0,,D,200061,0.45,4.5,3.1,10.466
735967.805191088,-113.989,44.4211666666667,5.31,0,,C,200062,0.06,2.4,1.5,5.003
735967.812285532,-114.081666666667,44.4378333333333,5,0,,D,200063,0.07,2.9,13.9,4.71
735967.812298264,-114.0215,44.4551666666667,9.97,0,,C,200064,0.11,1.2,0.8,9.206
735967.819690857,-114.094666666667,44.4496666666667,5,0,,D,200065,0.07,1.3,13.7,4.689
735967.821273958,-113.938833333333,45.9968333333333,7.08,0,,D,200066,1.39,51.7,50.3,6.532
735967.824347454,-113.114666666667,45.053,5,0,,D,200067,2.16,18.3,99,4.718
735967.828290162,-113.9845,44.4961666666667,2.23,0,,C,200068,0.05,2.4,1,2.239
735967.836032407,-113.578333333333,44.399,19.6,0,,D,200069,2.3,5.8,11.2,17.843
735967.837276042,-114.092833333333,44.4291666666667,5,0,,D,200070,0.13,3.1,16.3,4.71
735967.843241551,-114.0785,44.4383333333333,5,0,,D,200071,0.12,1.1,15.9,4.689
735967.847937037,-114.024333333333,44.5388333333333,5,0,,D,200072,0.06,3.5,13.4,4.71
735967.847952431,-113.982833333333,44.4398333333333,5,0,,D,200073,7.21,63.9,32.8,4.725
735967.852580556,-113.992666666667,44.5975,5,0,,D,200074,0.05,3.4,13.1,4.689
735967.853978472,-114.010833333333,44.558,5,0,,D,200075,0.1,4.7,14.8,4.71
735967.853978588,-114.081166666667,44.4465,0.02,0,,C,200076,0.3,1.3,2,0.178
735967.857183218,-114.1125,44.4385,5,0,,D,200077,0.14,1.9,16.9,4.71
735967.859851852,-113.9845,44.4013333333333,12.43,0,,D,200078,0.31,1.7,1,11.411
735967.860047917,-113.394833333333,45.377,5,0,,D,200079,5.42,32,99,4.717
735967.866109375,-114.066666666667,44.4363333333333,10.03,0,,C,200080,0.18,1.1,0.6,9.25
735967.880671759,-114.0235,44.4983333333333,4.07,0,,D,200081,0.32,2.4,2,3.895
735967.881327546,-114.0645,44.4271666666667,10.51,0,,D,200082,0.43,2.3,1.3,9.656
735967.882908681,-113.281666666667,44.3675,5,0,,D,200083,0.29,3.3,27.1,4.703
735967.903631713,-114.049166666667,44.4281666666667,9.92,0,,C,200084,0.14,1,1.2,9.15
735967.907411806,-114.094333333333,44.4376666666667,5,0,,D,200085,0.02,2.1,12.6,4.689
735967.913712384,-114.098166666667,44.4738333333333,0.04,0,,C,200086,0.1,1.9,2.1,0.268
735967.931235532,-114.0785,44.4621666666667,5,0,,D,200087,0.05,1.4,13.3,4.689
735967.938480324,-114.019833333333,44.4695,5,0,,D,200088,0.01,4.3,12.5,4.71
735967.938492014,-114.1115,44.3938333333333,21.56,0,,C,200089,0.26,1.9,1.3,19.57
735967.949303125,-114.097333333333,44.4273333333333,5,0,,D,200090,0.09,1.8,14.6,4.689
735967.955190509,-114.182166666667,44.5171666666667,4.38,0,,D,200091,0,3,1.6,4.174
735967.957305093,-113.656333333333,44.4358333333333,5,0,,D,200092,0.3,10.3,28.2,4.701
735967.957580556,-113.046166666667,44.2576666666667,5,0,,D,200093,1.99,13.8,99,4.684
735967.959220139,-114.0985,44.4311666666667,5,0,,D,200094,0.08,1.3,14.1,4.71
735967.983370486,-114.031333333333,44.4245,5,0,,D,200095,0.29,6.3,27.3,4.722
735967.983375463,-114.042166666667,44.4916666666667,8.03,0,,D,200096,0.36,2.8,1.4,7.46
735967.985232639,-114.0845,44.5176666666667,0.98,0,,D,200097,0.02,2.6,1.1,1.114
735967.985865625,-114.0935,44.427,5,0,,D,200098,0.1,1.8,15.1,4.735
735967.985874306,-114.1165,44.4266666666667,7.18,0,,D,200099,0.33,1.9,1.3,6.629
735967.987642824,-113.9425,44.4606666666667,5,0,,D,200100,0.39,2.3,35.1,4.742
735968.007254051,-114.033833333333,44.453,1,0,,C,200101,0.19,2.4,1.7,1.133
735968.016530787,-114.069166666667,44.4176666666667,5,0,,D,200102,0.12,1.3,15.8,4.724
735968.04906956,-114.070833333333,44.429,5,0,,D,200103,0.08,1.7,14.2,4.722
735968.04904838,-114.224333333333,44.473,6.57,0,,D,200104,0.23,4.5,1.4,6.079
735968.051419329,-113.993166666667,44.4131666666667,6.03,0,,D,200105,0.56,2.9,2.4,5.66
735968.059188079,-114.116833333333,44.4188333333333,5,0,,D,200106,0.37,2.6,33.4,4.752
735968.059194097,-113.985833333333,44.4236666666667,0.73,0,,D,200107,0.1,3.4,1.5,0.814
735968.076754514,-114.073166666667,44.4501666666667,8.86,0,,C,200108,0.11,1.1,1.8,8.209
735968.077441667,-114.135333333333,44.4335,5.22,0,,C,200109,0.25,2.3,4.3,4.916
735968.080516319,-114.073833333333,44.4223333333333,5,0,,D,200110,0.08,1.6,14.4,4.735
735968.080510185,-114.0895,44.428,12.47,0,,C,200111,0.1,2.2,3.1,11.424
735968.081554051,-114.034333333333,44.4446666666667,4.05,0,,D,200112,0.33,1.4,1.9,3.869
735968.099334954,-114.180833333333,44.432,1.79,0,,C,200113,0.03,2.2,0.8,1.807
735968.109007292,-112.949333333333,44.4916666666667,5,0,,D,200114,0.21,2.2,21.2,4.684
735968.113519329,-111.128833333333,43.7623333333333,2.24,0,,C,200115,0.14,1.3,0.7,2.183
735968.12111088,-114.016,44.4551666666667,10.38,0,,C,200116,0.23,1.5,1.6,9.575
735968.123994676,-114.087,44.4351666666667,5,0,,D,200117,0.16,1.5,18,4.735
735968.127715162,-114.065666666667,44.4176666666667,5,0,,D,200118,0.28,1.5,26.3,4.722
735968.171559143,-114.072833333333,44.4278333333333,11.06,0,,D,200119,0.34,2.7,1.1,10.186
735968.175961458,-114.031166666667,44.4353333333333,5,0,,D,200120,0.06,4.1,13.6,4.722
735968.175962268,-114.026166666667,44.448,10.84,0,,C,200121,0.16,1.4,0.8,9.988
735968.177844329,-113.904833333333,44.4186666666667,5,0,,D,200122,0.28,2.1,26.7,4.714
735968.17933044,-114.034666666667,44.4533333333333,6.83,0,,C,200123,0.13,1.3,0.9,6.369
735968.186021759,-114.079666666667,44.3868333333333,5,0,,D,200124,0.18,1.5,19.4,4.718
735968.214191667,-114.038666666667,44.4841666666667,22,0,,D,200125,0.47,18.7,22.3,20.033
735968.230924306,-114.134666666667,44.445,5,0,,D,200126,0.07,1.6,13.8,4.718
735968.260956481,-114.1455,44.4275,3.96,0,,D,200127,0.1,1.4,14.9,3.797
735968.268616898,-113.9125,44.435,6.33,0,,D,200128,0,8.7,9,5.865
735968.274584491,-114.1,44.4321666666667,10.73,0,,D,200129,0.32,1.9,1.1,9.853
735968.2858,-114.020666666667,44.4411666666667,5,0,,D,200130,0.16,1.3,18.3,4.718
735968.288814583,-114.042,44.4366666666667,5,0,,D,200131,0.07,1.5,13.8,4.722
735968.299559722,-114.0955,44.3678333333333,5,0,,D,200132,0.09,4.2,14.7,4.722
735968.299554977,-114.115833333333,44.459,5,0,,D,200133,0.16,2.3,18,4.732
735968.310890162,-113.890666666667,44.8248333333333,4.74,0,,D,200134,0.21,20.1,7.2,4.433
735968.315429745,-114.101833333333,44.4416666666667,12.65,0,,C,200135,0.19,1.2,0.9,11.603
735968.321015509,-113.9925,44.4378333333333,5,0,,D,200136,0.11,2.3,15.4,4.735
735968.327629282,-114.006166666667,44.4348333333333,5,0,,D,200137,0.25,1.5,24.1,4.724
735968.332024537,-114.0855,44.4565,0.01,0,,D,200138,0.05,2.6,1.1,0.241
735968.334636458,-113.9985,44.4575,5,0,,D,200139,0.04,1.1,12.9,4.722
735968.336728356,-114.040666666667,44.4633333333333,5,0,,D,200140,0.29,2,27.2,4.732
735968.342653472,-112.816666666667,44.8736666666667,5,0,,D,200141,1.36,55.2,99,4.723
735968.346123264,-113.996,44.4563333333333,2.49,0,,C,200142,0.09,1.3,1.2,2.473
735968.419346759,-114.051333333333,44.4433333333333,14.86,0,,C,200143,0.14,0.8,0.6,13.596
735968.429958449,-114.005833333333,44.4565,0.77,0,,C,200144,0.1,1.3,1.1,0.86
735968.449970718,-113.9565,44.4628333333333,5,0,,D,200145,0.04,2.6,12.9,4.725
735968.449934259,-114.545833333333,44.4888333333333,34.8,0,,D,200146,0.14,8.3,9.9,31.473
735968.460470602,-114.079,44.4733333333333,5,0,,D,200147,0.04,1.8,12.9,4.732
735968.492899537,-113.934666666667,44.4293333333333,4.24,0,,D,200148,0.37,3.1,1.9,4.048
735968.502338194,-114.091166666667,44.4571666666667,5,0,,D,200149,0.06,4.4,13.6,4.735
735968.502353588,-114.033333333333,44.4346666666667,5.83,0,,C,200150,0.06,1.5,1.8,5.479
735968.556898843,-114.068333333333,44.485,5,0,,D,200151,0.13,2,16.7,4.718
735968.556888426,-114.129666666667,44.4246666666667,6.58,0,,C,200152,0.13,1.9,0.9,6.123
735968.579669792,-114.124833333333,44.5651666666667,6.62,0,,D,200153,0.02,7,6.2,6.115
735968.651074074,-114.016833333333,44.4531666666667,5,0,,D,200154,0.06,2.2,13.4,4.718
735968.691367593,-114.0545,44.4148333333333,5,0,,D,200155,0.11,1.5,15.5,4.722
735968.720217824,-114.105166666667,44.407,5,0,,D,200156,0.44,2.8,38.8,4.667
735968.734546644,-113.104666666667,43.4436666666667,5,0,,D,200157,5.65,24.2,99,4.662
735968.739204861,-111.949833333333,44.1356666666667,5,0,,D,200158,2.06,16.2,99,4.732
735968.743792245,-114.126166666667,44.4155,5,0,,D,200159,0.04,1.9,13,4.696
735968.773831713,-114.120666666667,44.4083333333333,5,0,,D,200160,0.1,2.6,15.2,4.735
735968.773869444,-114.056833333333,44.4036666666667,24.33,0,,D,200161,0.19,3.6,3.8,22.064
735968.83157338,-114.005,44.4385,5,0,,D,200162,0.11,1.4,15.4,4.732
735968.856445023,-113.976833333333,44.4323333333333,5,0,,D,200163,0.13,2.3,16.6,4.727
735968.856408796,-114.2205,44.492,0.34,0,,D,200164,0.24,5,2.8,0.459
735968.867870718,-114.037666666667,44.3875,3.73,0,,C,200165,0.28,1.9,1.5,3.553
735968.868513773,-114.055166666667,44.4066666666667,9.73,0,,D,200166,0.43,2.4,3.9,8.958
735968.883919329,-114.697,44.5603333333333,5.02,0,,D,200167,0.51,21.2,44.2,4.67
735968.889003241,-113.975333333333,44.4768333333333,5,0,,D,200168,0.31,2.9,28.3,4.727
735968.959156481,-114.013333333333,44.4736666666667,5,0,,D,200169,0.15,1.9,17.7,4.752
735969.022374421,-113.965,44.4125,5,0,,D,200170,0.24,2.9,23.4,4.725
735969.032477199,-114.081166666667,44.4323333333333,5,0,,D,200171,0.15,2.5,17.4,4.752
735969.067541088,-114.085833333333,44.4118333333333,5,0,,D,200172,0.12,1.7,16.1,4.722
735969.067549306,-114.41,44.4306666666667,35.63,0,,D,200173,0.2,3.5,20.8,32.219
735969.091247222,-114.015666666667,44.4065,5.27,0,,D,200174,0.43,1.9,2.2,4.939
735969.092146644,-114.031,44.438,5,0,,D,200175,0.15,3.4,17.4,4.722
735969.092134028,-114.107166666667,44.456,5.32,0,,C,200176,0.25,2.1,1.8,5.01
735969.137076273,-114.0315,44.3703333333333,5,0,,D,200177,0.05,4.1,13.1,4.722
735969.137047917,-114.225333333333,44.4621666666667,7.68,0,,D,200178,0.06,4.6,2.3,7.144
735969.168097801,-114.059666666667,44.4463333333333,0,0,,D,200179,0.36,2.3,3.1,0.232
735969.174815509,-114.036666666667,44.3758333333333,5,0,,D,200180,0.66,4.4,56.5,4.667
735969.227954282,-114.089666666667,44.462,5,0,,D,200181,0.08,1.5,14,4.718
735969.273279282,-113.997833333333,44.414,9.73,0,,C,200182,0.18,1.5,4.7,8.981
735969.301820139,-114.0625,44.4661666666667,5,0,,D,200183,0.11,1.5,15.3,4.735
735969.308204051,-114.054,44.4523333333333,5,0,,D,200184,0.11,1.6,15.3,4.724
735969.415953472,-114.0335,44.4705,5,0,,D,200185,0.09,2,14.5,4.718
735969.551812963,-114.0245,44.4753333333333,5,0,,D,200186,0.18,2.4,19.3,4.735
735969.641348495,-114.051333333333,44.445,5,0,,D,200187,0.07,2.1,13.8,4.735
735969.651298032,-113.799666666667,44.456,2.66,0,,C,200188,0.11,2.1,3,2.59
735969.658583796,-114.069666666667,44.4265,5,0,,D,200189,0.11,1.6,15.7,4.735
735969.711392824,-114.025166666667,44.5423333333333,5,0,,D,200190,0.11,5.3,15.5,4.71
735969.71150706,-113.291166666667,44.4905,5,0,,D,200191,2.64,6.8,99,4.702
735969.720035532,-114.093166666667,44.4055,5,0,,D,200192,0.02,2.4,12.6,4.735
735969.834994097,-112.950333333333,44.3678333333333,5,0,,D,200193,1.81,36.8,99,4.667
735969.898977083,-113.894333333333,44.4218333333333,5,0,,D,200194,0.21,2.8,21.4,4.727
735969.900706713,-114.058,44.4546666666667,5,0,,D,200195,0.13,1.4,16.8,4.707
735969.900720255,-114.044833333333,44.5311666666667,1.9,0,,C,200196,0.05,2.1,0.8,1.877
735969.926239005,-114.024,44.528,5,0,,D,200197,0.13,12.9,16.4,4.689
735970.004521065,-114.084166666667,44.4343333333333,5,0,,D,200198,0.18,2.2,19.6,4.735
735970.023629282,-114.002166666667,44.435,4.54,0,,D,200199,0.68,2.7,3.5,4.318
735970.082404514,-114.013333333333,44.3506666666667,5,0,,D,200200,0.08,2.9,14.2,4.722
735970.08240081,-113.997833333333,44.4193333333333,10.21,0,,C,200201,0.03,1,2.1,9.344
735970.082989468,-112.09,44.2683333333333,5,0,,D,200202,2.43,17.4,99,4.694
735970.142346759,-114.000833333333,44.4615,5,0,,D,200203,0.2,2.9,21.1,4.724
735970.142341898,-114.075666666667,44.3663333333333,6.76,0,,C,200204,0.13,1.1,2,6.306
735970.248304167,-114.027833333333,44.4481666666667,9.68,0,,C,200205,0.19,2,1,8.936
735970.249208102,-114.071166666667,44.4111666666667,9.72,0,,C,200206,0.17,1.4,1.1,8.97
735970.274142477,-114.091,44.4076666666667,5,0,,D,200207,0.24,2.2,23.4,4.752
735970.279360532,-114.018666666667,44.4683333333333,5,0,,D,200208,0.05,1.5,13.1,4.718
735970.279345255,-114.113666666667,44.4453333333333,8.79,0,,D,200209,0.14,8.7,8.4,8.112
735970.301087269,-114.019666666667,44.4531666666667,5,0,,D,200210,0.07,1.4,13.9,4.722
735970.357023843,-114.017333333333,44.4555,5.31,0,,C,200211,0.07,1.6,0.8,5.03
735970.452226736,-110.919333333333,44.745,4.53,0,,D,200212,0.11,15.2,11.3,4.232
735970.475845139,-114.0955,44.4336666666667,5,0,,D,200213,0.09,1.7,14.7,4.718
735970.509940509,-114.036,44.442,5,0,,D,200214,0.18,2,19.4,4.722
735970.5099375,-114.067,44.4126666666667,11.93,0,,C,200215,0.07,2.1,3.4,10.938
735970.533527199,-114.288166666667,44.4446666666667,33.23,0,,D,200216,0.21,4.1,5.5,30.108
735970.64559919,-114.01,44.446,5,0,,D,200217,0.02,1.4,12.6,4.722
735970.645587153,-114.109666666667,44.4351666666667,8.49,0,,D,200218,0.33,2,2.3,7.893
735970.693664931,-114.051166666667,44.4373333333333,5,0,,D,200219,0.09,1.3,14.6,4.718
735970.727815972,-113.700666666667,44.4503333333333,5,0,,D,200220,0.2,2.3,20.7,4.722
735970.739270718,-114.162666666667,44.4633333333333,6.95,0,,C,200221,0.15,2,1,6.49
735970.739296296,-113.955333333333,44.4501666666667,0.06,0,,D,200222,0.14,3.8,1.4,0.221
735970.753610532,-113.972,44.4788333333333,5,0,,D,200223,0.12,3.4,16.1,4.732
735970.908050463,-114.160166666667,44.5985,5,0,,D,200224,0.28,2.3,26.7,4.718
735970.908062731,-114.081166666667,44.6283333333333,5.23,0,,D,200225,0.04,9.1,9.3,4.864
735970.917209722,-114.036666666667,44.455,0.28,0,,C,200226,0.23,1.4,2.7,0.476
735970.985121759,-114.026333333333,44.3783333333333,5,0,,D,200227,0.12,1.2,16.2,4.722
735971.018021181,-113.2645,44.3833333333333,5,0,,D,200228,3.15,9,99,4.696
735971.08208912,-114.019666666667,44.4353333333333,12.87,0,,C,200229,0.22,1.3,0.7,11.805
735971.096458102,-114.095,44.4435,5,0,,D,200230,0.03,1.7,12.8,4.735
735971.113331366,-114.069166666667,44.4368333333333,5,0,,D,200231,0.13,1.7,16.7,4.718
735971.189092361,-114.052833333333,44.482,5,0,,D,200232,0.01,1.5,12.5,4.689
735971.231540625,-113.984,44.4656666666667,5,0,,D,200233,0.06,2.7,13.5,4.732
735971.247362269,-114.056166666667,44.4473333333333,5,0,,D,200234,0.06,1.4,13.5,4.718
735971.262915856,-114.135666666667,44.3743333333333,5,0,,D,200235,0.05,2.4,13.1,4.689
735971.29345463,-114.046666666667,44.4233333333333,5,0,,D,200236,0.25,2.1,24.1,4.718
735971.329903356,-114.183333333333,44.4918333333333,4.64,0,,C,200237,0.01,2,1.7,4.408
735971.363928009,-114.098333333333,44.4381666666667,0.07,0,,C,200238,0.3,1.7,2.8,0.259
735971.420863194,-114.021666666667,44.4781666666667,1.27,0,,C,200239,0.04,1.2,0.6,1.31
735971.448714005,-114.195333333333,44.5866666666667,5.56,0,,C,200240,0.06,0.9,1,5.223
735971.449519676,-114.201,44.5288333333333,6.95,0,,C,200241,0.11,1.7,0.8,6.422
735971.4505375,-114.0115,44.4276666666667,5,0,,D,200242,0.23,2.1,22.5,4.732
735971.540868866,-113.880833333333,44.4793333333333,6.6,0,,D,200243,0.45,27.9,27.6,6.107
735971.542532639,-114.014333333333,44.4536666666667,5,0,,D,200244,0.13,2.6,16.4,4.718
735971.560544329,-114.1135,44.4451666666667,5.8,0,,C,200245,0.05,1.3,1.5,5.438
735971.584158565,-114.058333333333,44.4803333333333,5,0,,D,200246,0.31,3.8,28.5,4.718
735971.592929051,-113.228333333333,44.5763333333333,5,0,,D,200247,1.18,3.8,98.8,4.663
735971.665754514,-114.039333333333,44.4665,3.92,0,,D,200248,0.01,3.1,1.5,3.683
735971.691170833,-114.064833333333,44.453,5,0,,D,200249,0.12,2.5,16.2,4.689
735971.733339931,-114.1505,44.3931666666667,5,0,,D,200250,0.01,5.9,12.5,4.71
735971.733359954,-114.034,44.4591666666667,6.39,0,,D,200251,0.2,13.7,13.2,5.906
735971.757422685,-114.0195,44.5363333333333,5,0,,D,200252,0.06,10.4,13.4,4.703
735971.770358912,-114.08,44.4575,5,0,,D,200253,0.1,2.4,15.2,4.71
735971.831696528,-111.574,45.293,5,0,,D,200254,0.09,1.2,14.4,4.687
735971.939130093,-111.541333333333,46.183,1.24,0,,C,200255,0.02,1.9,1.2,1.333
735971.941174537,-114.092166666667,44.4313333333333,5,0,,D,200256,0.06,2.2,13.4,4.71
735971.941196528,-113.972,44.494,7.62,0,,D,200257,0.86,6.4,10.4,7.08
735971.956690046,-114.083833333333,44.4425,5,0,,D,200258,0.1,2.5,14.8,4.71
735971.956670833,-114.465333333333,44.2853333333333,35.3,0,,D,200259,0.33,6.1,30.4,31.938
735972.031175231,-113.797,44.4415,5,0,,C,200260,0.28,0.9,26.3,4.71
735972.084849537,-114.053,44.401,11.69,0,,D,200261,0.1,2.9,3,10.676
735972.201846875,-114.055833333333,44.4755,5,0,,D,200262,0.03,1.6,12.7,4.689
735972.369909259,-114.0585,44.4595,5,0,,D,200263,0.04,2.7,12.9,4.689
735972.63534213,-114.184666666667,44.9611666666667,5,0,,D,200264,0.03,1.5,12.8,4.689
735972.676127315,-114.0825,44.441,5,0,,D,200265,0.01,2.3,12.6,4.689
735972.676152894,-114.27,44.4426666666667,35.57,0,,D,200266,0.19,1.8,20.1,32.165
735972.737244676,-114.004833333333,44.3713333333333,5,0,,D,200267,0.05,1.6,13.2,4.701
735972.944056713,-114.017,44.554,5,0,,D,200268,0.08,8.3,14.3,4.689
735973.072422454,-114.066166666667,44.461,5,0,,D,200269,0.02,2.9,12.6,4.689
735973.223585995,-114.064,44.4753333333333,5,0,,D,200270,0.14,2.3,16.9,4.689
735973.264922801,-113.951,44.4283333333333,5,0,,D,200271,0.24,2.5,23.8,4.727
735973.267116782,-111.655,43.2133333333333,4.12,0,,D,200272,0.55,25.3,25.6,3.93
735973.362949421,-112.088833333333,43.1933333333333,4.94,0,,D,200273,0.18,9.2,1.1,4.647
735973.562608912,-113.610333333333,44.3211666666667,5,0,,D,200274,2.04,23.2,99,4.689
