otime,lon,lat,depth,horErr,rms,mag
735650.344571759,-114.0415,44.228,11.9,NaN,1.11,0
735682.780243056,-114.3237,44.6637,5,NaN,0.57,0
735682.79025463,-114.3053,44.6995,2.16,NaN,0.85,0
735682.804467593,-114.3138,44.6513,5,NaN,0.74,0
735683.5446875,-114.3176,44.6547,5,NaN,0.71,0
735683.705266204,-114.3092,44.6532,5,NaN,0.71,0
735683.7253125,-114.3064,44.694,5,NaN,1.04,0
735683.832951389,-114.3042,44.6793,5,NaN,1.11,0
735683.875,-114.279,44.6208,5,NaN,0.59,0
735687.372361111,-114.3085,44.5753,8.6,1.4,0.28,0
735688.4775,-114.2857,44.6298,5,NaN,0.86,0
735688.547152778,-114.3016,44.5795,8,1,0.21,0
735688.930393519,-114.3387,44.6586,5,NaN,0.82,0
735690.109479167,-114.3043,44.584,9.6,1,0.24,0
735699.514965278,-114.321,44.591,7.2,NaN,0.96,0
735700.596539352,-114.3549,44.6412,5,NaN,1.12,0
735701.546064815,-114.3214,44.6475,5,NaN,0.54,0
735702.003229167,-114.33,44.62,3.5,NaN,1.43,0
735702.010115741,-114.3046,44.584,11.2,NaN,1.04,0
735702.016539352,-114.31,44.58,7.7,NaN,0.9,0
735702.075590278,-114.2896,44.6718,5,NaN,0.77,0
735702.284652778,-114.3263,44.5988,8,NaN,1.53,0
735702.325023148,-114.3205,44.5898,8.5,NaN,0.87,0
735702.348043981,-114.2995,44.5758,8.3,NaN,0.73,0
735702.380428241,-114.325,44.5826,8.1,NaN,1.55,0
735702.472997685,-114.31,44.57,9.2,NaN,1.32,0
735702.543414352,-114.297,44.592,11.4,NaN,0.82,0
735702.668298611,-114.3325,44.6121,8.5,NaN,0.4,0
735702.860486111,-114.3005,44.5556,11.6,1.2,0.23,0
735702.961145833,-114.3066,44.5785,7.8,NaN,2,0
735703.316736111,-114.2888,44.5681,10.9,NaN,0.7,0
735703.646655093,-114.28,44.57,10.8,NaN,0.34,0
735703.790706019,-114.3,44.57,8.9,NaN,1.5,0
735703.844965278,-114.33,44.6,7.4,NaN,1.3,0
735703.850034722,-114.3476,44.6767,5,NaN,0.94,0
735703.913784722,-114.3236,44.6113,8.2,NaN,0.75,0
735703.915277778,-114.3368,44.6075,7.7,NaN,1.19,0
735703.939270833,-114.2973,44.5856,13,NaN,1.43,0
735703.940983796,-114.32,44.59,11.2,NaN,1.11,0
735703.946979167,-114.33,44.61,9.8,NaN,0.99,0
735704.133773148,-114.33,44.6,8.4,NaN,1.43,0
735704.145590278,-114.32,44.59,9.3,NaN,0.65,0
735704.159768519,-114.32,44.6,8.6,NaN,1.26,0
735704.227719907,-114.3515,44.6129,5,NaN,1.23,0
735704.263784722,-114.321,44.5978,8.6,NaN,1.29,0
735704.601712963,-114.3,44.59,10.9,NaN,0.47,0
735704.888287037,-114.2921,44.5641,10.1,NaN,0.6,0
735705.242766204,-114.3095,44.5715,8.2,1.1,0.18,0
735705.836099537,-114.2891,44.5946,12.8,1,0.12,0
735705.849733796,-114.33,44.61,7.3,NaN,1.52,0
735705.88150463,-114.3316,44.5981,9.2,NaN,1.03,0
735706.670983796,-114.3395,44.5885,8.6,NaN,1.02,0
735706.872280093,-114.3,44.57,10.4,NaN,0.87,0
735707.971840278,-114.3116,44.5726,8.4,NaN,0.99,0
735709.397395833,-114.3203,44.5911,6.3,NaN,0.88,0
735711.570914352,-114.33,44.59,6.6,NaN,0.91,0
735718.841064815,-114.3076,44.5733,6,NaN,0.75,0
735719.708263889,-114.32,44.58,7.3,NaN,1.14,0
735722.357025463,-114.33,44.59,8.2,NaN,0.91,0
735723.758414352,-114.308,44.5558,8.7,NaN,0.82,0
