otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
735690.109520949,114.144,44.5218333333333,11.94,2.58,,C,10237,0.13,0.7,1.1
735690.309020023,114.146166666667,44.5196666666667,0.08,1.95,,C,10724,0.13,2.4,2.9
735690.431080208,111.871166666667,44.698,5.04,1.97,,B,11020,0.1,0.6,1.5
735690.661752315,114.094,44.513,0.08,1.94,,D,11552,0.15,2.7,3.1
735691.56332037,114.108833333333,44.4986666666667,0.03,1.58,,D,21331,0.11,3.8,4.1
735691.695363079,114.1035,44.5116666666667,6.74,1.23,,D,21641,0.2,4.6,9
735692.055015509,114.182333333333,44.5413333333333,8.45,1.63,,C,30119,0.11,1.2,1.8
735692.333592824,114.155833333333,44.5185,0.27,2.06,,C,30800,0.13,2,2.6
735692.508504977,114.1015,44.5266666666667,2.51,1.5,,D,31212,0.01,2.7,5.2
735692.520671759,114.2495,44.5681666666667,4.16,2.01,,C,31229,0.16,1.3,2.3
735692.615711806,114.180666666667,44.5618333333333,5.13,1.92,,C,31446,0.07,2,4.4
735692.853520602,113.017166666667,44.4658333333333,6.92,1.11,,C,32028,0.11,0.6,15.5
735694.016616088,112.534666666667,44.656,4.03,1.91,,B,50023,0.07,0.3,0.6
735694.779128588,114.230833333333,44.5258333333333,1.18,1.92,,D,51841,0.13,2.7,3.3
735695.09409919,114.203666666667,44.5446666666667,0.02,2.11,,C,60215,0.18,2.2,2.7
735695.193288426,114.102666666667,44.4871666666667,0.01,1.89,,C,60438,0.17,2.4,3
735695.441833333,112.228333333333,44.5406666666667,3.22,1.02,,C,61036,0.1,1,0.8
735695.58399375,112.834,44.4301666666667,11.06,1.34,,B,61400,0.11,0.6,1.4
735695.814950694,114.0805,44.4915,0.08,1.79,,D,61933,0.22,2.6,2.8
735695.81612338,114.190333333333,44.5313333333333,6.47,1.72,,C,61933,0.12,0.9,2.1
735696.264207176,112.541666666667,45.2388333333333,0.04,2.09,,B,70620,0.14,0.6,1.2
735697.874463542,114.272666666667,44.5458333333333,3.89,2.16,,C,82059,0.12,0.8,1.4
735697.912598032,114.178666666667,44.476,8.07,1.13,,C,82154,0.14,1.5,2.5
735699.115693171,114.172666666667,44.5383333333333,0.12,2.06,,C,100246,0.12,1.7,2.1
735699.514998495,114.161333333333,44.521,7.07,0,,C,101221,0.14,0.9,1.2
735699.518077894,114.242333333333,44.566,6.1,2.02,,C,101225,0.13,1,1.7
735699.51934537,114.1185,44.5185,8.08,1.9,,C,101227,0.14,0.7,1.1
735699.520549537,114.1225,44.5616666666667,6.12,1.4,,C,101229,0.09,2.3,4.7
735699.523814005,114.020833333333,44.5218333333333,7.33,1.52,,C,101234,0.1,1,2.2
735699.524508102,114.0455,44.487,4.94,1.83,,C,101235,0.2,1.6,4.3
735699.543491435,114.1555,44.5136666666667,8.44,1.27,,C,101302,0.08,1.2,2.1
