otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
736939.220916782,111.2145,42.5761666666667,12.26,1.1,,B,10517,0.13,0.7,1.3
736940.974774074,111.496333333333,42.6551666666667,3.4,1.24,,D,22323,0.05,1,13.1
736940.97911169,111.455166666667,42.6376666666667,8.52,1.05,,C,22329,0.06,0.9,2.4
736940.982702315,111.416166666667,42.6001666666667,12.96,1.17,,D,22335,0.02,9.7,7.4
736940.987550926,111.459333333333,42.6461666666667,4.87,1.21,,D,22342,0.08,1.9,14.2
736940.991903704,111.478166666667,42.6455,4.96,2.22,,D,22348,0.03,1.5,12.3
736940.996864815,111.483833333333,42.6096666666667,12.93,0,,D,22355,0.02,2.7,4
736940.997837269,111.4425,42.6378333333333,7.17,0,,B,22356,0.09,0.3,0.8
736941.00375162,111.653166666667,42.5471666666667,1.68,1.26,,D,30005,0.02,5.8,8
736941.005031829,111.429833333333,42.6766666666667,3.91,0,,D,30006,0.15,1.1,14.1
736941.009029167,111.4815,42.6576666666667,5.49,0,,D,30012,0.03,7.7,10.2
736941.011963773,111.450833333333,42.5636666666667,5.08,0,,D,30015,0.04,3.1,10.8
736941.013728472,111.4615,42.6826666666667,4.98,0,,D,30018,0.09,1.9,12.2
736941.015164583,111.491666666667,42.636,4.64,0,,D,30021,0.09,2.2,13.6
736941.027643171,111.483333333333,42.6058333333333,5.68,0,,D,30037,0.01,1.1,5.7
736941.02764213,111.491,42.5935,4.98,0,,D,30039,0.05,0.9,10.7
736941.030994329,111.37,43.0471666666667,5,1.83,,D,30044,0.18,3.5,19.1
736941.04905625,111.463833333333,42.6108333333333,7.48,0,,D,30110,0.09,4.7,3.8
736941.053313773,111.472166666667,42.659,4.92,0,,D,30116,0.17,1.4,14
736941.0565,111.421666666667,42.541,14.44,0,,D,30121,0.01,3.7,4.2
736941.059120139,111.274833333333,42.5476666666667,24.26,2.16,,D,30124,0.18,17,9.7
736941.06109213,111.410333333333,42.6241666666667,14.05,0,,C,30127,0.05,2.1,2.5
736941.079507639,111.460666666667,42.6045,10.6,0,,C,30154,0.13,0.9,2.6
736941.082169907,111.468,42.6346666666667,4.98,0.99,,D,30158,0.16,6.3,6.9
736941.083840972,111.450333333333,42.6363333333333,4.55,1.61,,D,30200,0.08,3.5,13.9
736941.085344792,111.472166666667,42.5425,5.37,0,,D,30202,0,2.9,1.6
736941.091939352,111.309666666667,42.7216666666667,8.17,0,,D,30211,0.05,8.6,9.9
736941.094503009,111.464,42.6213333333333,4.98,0,,D,30215,0.08,1.1,11.9
736941.100334606,111.472333333333,42.6298333333333,7.16,1.14,,C,30224,0.07,1.2,3.6
736941.101371875,111.488833333333,42.6803333333333,5.02,0.93,,D,30225,0.17,1.4,14.9
736941.103750926,111.463666666667,42.63,6.6,0,,C,30228,0.11,0.8,3.5
736941.111490162,111.439666666667,42.6018333333333,6.23,1.49,,D,30240,0.01,3.3,4.4
736941.113913889,111.457666666667,42.6103333333333,8.28,1.97,,C,30243,0.04,0.5,3.6
736941.119332755,111.472333333333,42.6455,2.16,1.86,,D,30251,0.02,0.6,12.6
736941.135423727,111.446333333333,42.626,10.37,0,,C,30314,0.02,2,1.2
736941.139580787,111.433666666667,42.5568333333333,8.45,1.24,,D,30320,0.01,10.2,5.8
736941.156668171,111.472333333333,42.6696666666667,5.02,1.97,,D,30345,0.07,1.4,12.9
